Country,mined_raw_mat,Unit,2018,2019,2020,2021,2022
Brazil,Graphite,(t),78981,81770,67020,78555,79372
Brazil,Gypsum,(t),2666002,2842654,2851643,3260209,3203474
Brazil,Kaolin,(t),1685255,1471610,1239591,1153884,1189531
Brazil,Magnesite,(t),1900000,1530000,1550000,1800000,1700000
Brazil,Phosphates,(t),1980300,1828500,1827900,1793000,1869300
Brazil,Potash,(t),201181,248911,254837,213028,299636
Brazil,Salt,(t),7227300,6700500,6464300,6534300,7000000
Brazil,Sulfur,(t),450000,460000,450000,435000,519600
Brazil,Talc,(t),660000,650000,650000,660000,700000
Brazil,Vermiculite,(t),56708,47581,58821,70500,70913
Brazil,Zircon,(t),17844,17136,10994,6482,6513
Brazil,Steam Coal,(t),3568760,3812975,3171509,4768003,3473384
Brazil,Lignite,(t),1422500,1596696,2309404,1896525,2648783
Brazil,Nat. Gas,(Mio m3),26687,27358,25384,25382,24098
Brazil,Petroleum,(t),134122000,143933400,151759400,149154800,154993700
Brazil,Uranium,(t),0,0,20,34,51
Brunei,Nat. Gas,(Mio m3),12235,12504,12065,11178,10266
Brunei,Petroleum,(t),5553200,6040240,5479350,5308680,4577160
Bulgaria,Cadmium,(t),313,315,311,343,315
Bulgaria,Copper,(t),112850,114240,107610,104020,121120
Bulgaria,Lead,(t),24200,23350,20680,21420,23110
Bulgaria,Tellurium,(t),4,3,4,3,3
Bulgaria,Zinc,(t),20390,19170,17520,17910,19330
Bulgaria,Gold,(kg),8995,7467,9349,9695,8529
Bulgaria,Silver,(kg),47016,40755,39126,38661,26437
Bulgaria,Baryte,(t),70000,72000,41000,72000,75000
Bulgaria,Bentonite,(t),45000,45000,40900,72100,72000
Bulgaria,Gypsum,(t),88000,88000,54800,77400,77000
Bulgaria,Kaolin,(t),323000,330000,276000,380000,609760
Bulgaria,Salt,(t),3400000,3400000,2700000,3300000,3300000
Bulgaria,Sulfur,(t),474100,423600,497000,434500,515500
Bulgaria,Lignite,(t),31813678,29462615,22519300,28410900,35513000
Bulgaria,Nat. Gas,(Mio m3),31,35,55,31,17
Bulgaria,Oil Shales,(t),0,39000,44000,56000,61000
Bulgaria,Petroleum,(t),20600,20000,20500,20086,19480
Burkina Faso,Zinc,(t),99162,106680,78990,84170,22880
Burkina Faso,Gold,(kg),52622,50559,62405,67126,58159
Burkina Faso,Silver,(kg),6160,5670,10012,8897,7326
Burundi,Niobium,(t),5,5,4,10,3
Burundi,Tantalum,(t),8,8,6,15,5
Burundi,Tungsten,(t),108,150,166,120,100
Burundi,Rare Earths,(t),631,195,296,134,0
Burundi,Tin,(t),122,143,121,95,80
Burundi,Gold,(kg),598,573,863,986,914
Cambodia,Gold,(kg),,,0,1466,3320
Cambodia,Salt,(t),30000,18430,83969,68682,35000
Cameroon,Aluminium,(t),65900,68950,61650,47300,62770
Cameroon,Gold,(kg),448,341,233,440,175
Cameroon,Diam. (Ind),(ct),1805,1737,2438,2668,2431
Cameroon,Nat. Gas,(Mio m3),1460,2010,2130,2090,2190
Cameroon,Petroleum,(t),3428100,3545900,3622200,3493100,3403200
Canada,Iron,(t),32180800,34457800,36995000,35542900,42073900
Canada,Cobalt,(t),5608,5039,4069,3953,3063
Canada,Molybdenum,(t),5048,4385,3979,1871,1146
Canada,Nickel,(t),177867,176021,168214,159145,143266
Canada,Niobium,(t),7700,6800,6400,7650,6800
Canada,Titanium,(t),620000,550000,480000,440000,540000
Canada,Aluminium,(t),2924389,2853771,3118710,3136704,3033966
Canada,Antimony,(t),5,2,2,2,2
Canada,Bismuth,(t),5,4,4,0,0
Canada,Cadmium,(t),1857,1803,1800,1800,1800
Canada,Copper,(t),548011,557242,581713,509350,510782
Canada,Indium,(t),58,61,61,44,39
Canada,Lead,(t),17874,22608,3770,9339,8247
Canada,Lithium,(t),8750,1200,0,0,0
Canada,Selenium,(t),85,102,102,57,110
Canada,Tellurium,(t),25,13,23,25,24
Canada,Zinc,(t),304964,269353,246995,230187,208147
Canada,Gold,(kg),194155,190889,177884,196128,205831
Canada,Palladium,(kg),20880,21928,10897,15433,16099
